,team1,league_team1,season
0,Imolese Berretti,ITAJ,6
1,Imolese Primavera,ITAJ,6
2,Indomita Pomezia,ITA4,6
3,Ippogrifo Sarno,ITA4,6
4,Isernia Youth,ITAJ,6
5,J-Stars SSD,ITA4,6
6,Jonica FC,ITA4,6
7,Junior Vittoria,ITA4,6
8,Juve Stabia Under 17,ITAJ,6
9,Juve Stabia Youth,ITAJ,6
10,Juventus Club Parma,ITA4,6
11,ISM Academy,ITA4,6
12,La Palma Monteurpinu,ITA4,6
13,Lanciotto Campi Bisenzio,ITA4,6
14,Lanusei Youth,ITAJ,6
15,Latina Berretti,ITAJ,6
16,Latte Dolce Giovanili,ITA4,6
17,Legia Warsaw Youth,ITAJ,6
18,Legnano Juniores,ITAJ,6
19,Lentigione Giovanili,ITA4,6
20,Levanto,ITA4,6
21,Libertas Acate,ITA4,6
22,Ligorna Giovanili,ITA4,6
23,Lodigiani Youth,ITAJ,6
24,La Storta,ITA4,6
25,Hyria Nola,ITA4,6
26,Hellas Verona Under 18,ITAJ,6
27,Gubbio Primavera,ITAJ,6
28,Foggia Youth,ITAJ,6
29,Folgore Rubiera,ITA4,6
30,Folgore Selinunte Giovanili,ITA4,6
31,Folgore Veregra,ITA4,6
32,Foligno Calcio Giovanili,ITA4,6
33,Fomarco Don Bosco Pievese,ITA4,6
34,Football Youth Academy Riccione,ITAJ,6
35,Fortis Altamura,ITA4,6
36,Franciacorta Giovanili,ITA4,6
37,Frattese Youth,ITAJ,6
38,Fulgor Maceratese 1922,ITA4,6
39,GS Bagnolese,ITA4,6
40,GSD Ghiviborgo VDS,ITA4,6
41,GSD Mario Zanconti,ITA4,6
42,GSD Real Martellago,ITA4,6
43,Gela FC,ITA4,6
44,Gelbison Youth,ITAJ,6
45,Genova International School of Soccer,ITA4,6
46,Ghiviborgo Giovanili,ITA4,6
47,Giarre 1946,ITA4,6
48,Giovane Cattolica 1923,ITA4,6
49,Giugliano Calcio 1928,ITA4,6
50,Gravina Juniores,ITAJ,6
51,Grifone Gialloverde,ITA4,6
52,Gubbio Juniores,ITAJ,6
53,Lornano Badesse Calcio,ITA4,6
54,Lupa Frascati,ITA4,6
55,Lupa Piacenza,ITA4,6
56,Narnese Calcio,ITA4,6
57,Nettuno Calcio,ITA4,6
58,Novara FC,ITA4,6
59,Nuova Albano,ITA4,6
60,Nuova Florida Calcio,ITA4,6
61,Nuova Folgore,ITA4,6
62,Nuova Napoli Nord,ITA4,6
63,Olbia Berretti,ITAJ,6
64,Olbia Calcio 1905 SSD,ITA4,6
65,Olympia Agnonese Youth,ITAJ,6
66,Olympique Lyon Youth,ITAJ,6
67,Orvietana Calcio,ITA4,6
68,Osimana,ITA4,6
69,POL.D. Belfiorese,ITA4,6
70,PRI Primorec,ITA4,6
71,Padova Juniores,ITAJ,6
72,Padova Under 17,ITAJ,6
73,Paganese Youth,ITAJ,6
74,Parma Berretti,ITAJ,6
75,Parma Juniores,ITAJ,6
76,Parma Under 18,ITAJ,6
77,Paterno Calcio,ITA4,6
78,Nardò Youth,ITAJ,6
79,Fo.Ce. Vara 1998,ITA4,6
80,NK Kras Repen,ITA4,6
81,Monticelli Juniores,ITAJ,6
82,Luparense San Paolo Juniores,ITAJ,6
83,Luzzara,ITA4,6
84,MC Fermana FC,ITA3,6
85,Magliano Juniores,ITAJ,6
86,Maliseti Tobbianese,ITA4,6
87,Marcianise Youth,ITAJ,6
88,Mariano Keller,ITA4,6
89,Marina di Ragusa,ITA4,6
90,Marsala 1912 FC,ITA4,6
91,Martina Calcio 1947,ITA4,6
92,Masseroni Marchese,ITA4,6
93,Matelica Juniores,ITAJ,6
94,Mazzola Valdarbia Youth,ITAJ,6
95,Meletolese FC,ITA4,6
96,Mesagne Calcio 2011,ITA4,6
97,Mezzolara Youth,ITAJ,6
98,Modena Juniores,ITAJ,6
99,Monreale Calcio,ITA4,6
100,Monte di Procida,ITA4,6
101,Montecchio Maggiore Giovanili,ITA4,6
102,Montegranaro Calcio,ITA4,6
103,Monterosi Giovanili,ITA4,6
104,Monterosi Tuscia FC,ITA3,6
105,Montevarchi Juniores,ITAJ,6
106,Málaga CF Youth,ITAJ,6
107,Paternò Calcio,ITA4,6
108,Floria 2000,ITA4,6
109,Flaminia Civita Castellana,ITA4,6
110,Casatese,ITA4,6
111,Cascina,ITA4,6
112,Casoria Calcio,ITA4,6
113,Castel d'Ario,ITA4,6
114,Castelfiorentino Calcio,ITA4,6
115,Castellarano Juniores,ITAJ,6
116,Catanzaro Primavera,ITAJ,6
117,Cattolica Calcio 1923,ITA4,6
118,Cavenago Fanfulla,ITA4,6
119,Celle di San Vito,ITA4,6
120,Cesena Juniores,ITAJ,6
121,Cannara Giovanili,ITA4,6
122,Chieti Youth,ITAJ,6
123,Chioggia Youth,ITAJ,6
124,Chisola Calcio ASD,ITA4,6
125,Chisola Youth,ITAJ,6
126,Ciabbino,ITA4,6
127,Ciliverghe Mazzano Youth,ITAJ,6
128,Ciserano Juniores,ITAJ,6
129,Città di Acireale 1946,ITA4,6
130,Città di Sant'Agata,ITA4,6
131,Città di Siracusa,ITA4,6
132,Civitavecchia Youth,ITAJ,6
133,Colorno Calcio,ITA4,6
134,Campus Eur 1960,ITA4,6
135,Campomorone,ITA4,6
136,Campobello Calcio,ITA4,6
137,Benaco Salò,ITA4,6
138,Bessica,ITA4,6
139,Biancoscudati Padova,ITA4,6
140,Boca Nuova Melito ADMO,ITA4,6
141,Bollengo Albiano,ITA4,6
142,Bologna Under 18,ITAJ,6
143,Borgo a Buggiano Juniores,ITAJ,6
144,Borgovercelli Giovanili,ITA4,6
145,Boys Caserta,ITA4,6
146,Bresso Calcio,ITA4,6
147,Brindisi Youth,ITAJ,6
148,Busalla Calcio,ITA4,6
149,Busto 81,ITA4,6
150,CD Leganés Youth,ITAJ,6
151,CS Vultur Rionero,ITA4,6
152,CSF Carmagnola,ITA4,6
153,CUS Sassari,ITA4,6
154,Cagliari Under 18,ITAJ,6
155,Calcio Cittanovese,ITA4,6
156,Camaro 1969,ITA4,6
157,Como Juniores,ITAJ,6
158,Comprensorio Normanno,ITA4,6
159,Copertino Calcio,ITA4,6
160,FC Paris Saint-Germain Youth,ITAJ,6
161,FC Petrzalka Youth,ITAJ,6
162,FC San Giorgio,ITA4,6
163,FC San Giorgio Giovanili,ITA4,6
164,FC Scandicci 1908,ITA4,6
165,FC Union Pro,ITA4,6
166,FC Viareggio Youth,ITAJ,6
167,FC Vigor Senigallia,ITA4,6
168,FC Vizela Youth 19,ITAJ,6
169,FCD  LMM Montemiletto,ITA4,6
170,FCD Bacigalupo Vasto Marina,ITA4,6
171,FCD Moconesi Fontanabuona 1992,ITA4,6
172,FCD Valgatara,ITA4,6
173,FS Sestrese Juniores,ITAJ,6
174,Fabriano Cerreto,ITA4,6
175,Falaschelavinio,ITA4,6
176,Fano Berretti,ITAJ,6
177,Fano Juniores,ITAJ,6
178,Fano Primavera,ITAJ,6
179,Faro Gaggio,ITA4,6
180,Favaro Calcio,ITA4,6
181,Felino,ITA4,6
182,Fenegrò,ITA4,6
183,Feralpisalò Berretti,ITAJ,6
