,team1,league_team1,season
0,LR Vicenza Virtus,ITA3,6
1,SSC Giugliano,ITA4,6
2,SS Villacidrese,ITA4,6
3,SS Racing Club Roma,ITA3,6
4,SS Monza 1912,ITA3,6
5,Eretum Monterotondo,ITA4,6
6,Esporte Clube Primavera (SP),ITAJ,6
7,FBC Casale,ITA4,6
8,FC Aprilia,ITA4,6
9,FC Bassano 1903,ITA4,6
10,Città di Gela,ITA4,6
11,FC Calvi Noale,ITA4,6
12,FC Empoli,ITA1,6
13,FC Messina,ITA4,6
14,FC Messina Peloro,ITA2,6
15,FC Monteponi Iglesias,ITA4,6
16,FC Paris Saint-Germain Youth,ITAJ,6
17,SF Aversa Normanna,ITA3,6
18,FC Ponsacco 1920,ITA4,6
19,SEF Torres 1903,ITA3,6
20,FC Rieti,ITA4,6
21,Cittadella Primavera,ITAJ,6
22,SSD Città di Brindisi,ITA4,6
23,Biancoscudati Padova,ITA4,6
24,Siena Juniores,ITAJ,6
25,Borgosesia Calcio,ITA4,6
26,Savona Youth,ITAJ,6
27,Sapri Calcio 1928,ITA4,6
28,Sant'Omero Palmense,ITA4,6
29,Novara FC,ITA4,6
30,Sanremese Calcio,ITA4,6
31,Calcio Del Duca Ribelle,ITA4,6
32,Calcio Foggia 1920,ITA3,6
33,SSD Fidelis Andria,ITA4,6
34,Cavese Berretti,ITAJ,6
35,SSD Monza 1912,ITA4,6
36,SSD Riccione Calcio 1929,ITA4,6
37,SC Caronnese,ITA4,6
38,Catania Berretti,ITAJ,6
39,Casatese,ITA4,6
40,Casarano Calcio,ITA4,6
41,SSD US Ancona,ITA4,6
42,Sacilese Calcio,ITA4,6
43,SSD Spoleto Calcio,ITA4,6
44,Spezia Calcio 1906,ITA2,6
45,Virtusvecomp Verona,ITA3,6
46,La Storta,ITA4,6
47,Latina Calcio 1932,ITA4,6
48,Pavia Juniores,ITAJ,6
49,Lazio U19,ITAJ,6
50,Parma Juniores,ITAJ,6
51,Legnano AC,ITA4,6
52,Lucchese 1905,ITA4,6
53,Lupa Piacenza,ITA4,6
54,Luparense FC,ITA4,6
55,Palermo Juniores,ITAJ,6
56,Palermo FC,ITA3,6
57,Monterosi FC,ITA4,6
58,Montespaccato Savoia,ITA4,6
59,Paganese Berretti,ITAJ,6
60,Padova Berretti,ITAJ,6
61,Olbia Calcio,ITA4,6
62,Nuorese Calcio,ITA4,6
63,MC Fermana FC,ITA3,6
64,Pierantonio Sport,ITA4,6
65,Pisa Sporting Club,ITA2,6
66,Isola Capo Rizzuto,ITA4,6
67,Rocca Priora,ITA4,6
68,Reggio Audace FC,ITA3,6
69,Foligno Juniores,ITAJ,6
70,Fondi Calcio,ITA4,6
71,Francavilla Calcio 1927,ITA4,6
72,Real Vicenza VS,ITA3,6
73,Frosinone Primavera,ITAJ,6
74,GSD Ambrosiana,ITA4,6
75,GSD RapalloBogliasco,ITA4,6
76,Inter Under 17,ITAJ,6
77,Porto Torres,ITA4,6
