,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,league_team1,season,window,team1,country_team1,dir,player_id,player_name,player_age,player_nation,player_pos,team2,country_team2,transfer_value,market_value,is_free,is_loan,is_loan_end,is_retired,transfer_id,league_team2
2289,2943,2944,3221,ENG1,2010,s,Manchester City,England,left,15511,Robinho,26,Brazil,striker,AC Milan,Italy,21000000,28000000,False,False,False,False,474643,ITA1
11083,13875,13882,15228,SPA1,2010,s,FC Barcelona,Spain,left,3455,Zlatan Ibrahimovic,28,Sweden,striker,AC Milan,Italy,6000000,46000000,False,True,False,False,473616,ITA1
11100,13897,13904,15253,SPA1,2010,w,RCD Espanyol Barcelona,Spain,left,67090,Dídac Vilà,21,Spain,defender,AC Milan,Italy,4000000,800000,False,False,False,False,532877,ITA1
18496,22990,22997,26148,ITA1,2010,s,UC Sampdoria,Italy,left,19136,Marco Storari,33,Italy,goalkeeper,AC Milan,Italy,0,1500000,False,True,True,False,379178,ITA1
18580,23090,23097,26259,ITA1,2010,s,Chievo Verona,Italy,left,5507,Mario Yepes,34,Colombia,defender,AC Milan,Italy,0,2000000,True,False,False,False,407804,ITA1
18592,23126,23133,26296,ITA1,2010,s,Chievo Verona,Italy,left,52337,Michal Miskiewicz,21,Poland,goalkeeper,AC Milan,Italy,0,100000,False,True,True,False,316203,ITA1
18631,23165,23172,26349,ITA1,2010,s,Genoa CFC,Italy,left,68306,Alberto Paloschi,20,Italy,striker,AC Milan,Italy,5000000,5000000,False,False,False,False,580632,ITA1
18632,23166,23173,26350,ITA1,2010,s,Genoa CFC,Italy,left,34322,Sokratis Papastathopoulos,22,Greece,defender,AC Milan,Italy,4500000,5000000,False,False,False,False,454358,ITA1
18633,23167,23174,26351,ITA1,2010,s,Genoa CFC,Italy,left,16922,Kevin-Prince Boateng,23,Ghana,midfielder,AC Milan,Italy,3000000,6000000,False,True,False,False,467628,ITA1
18634,23168,23175,26352,ITA1,2010,s,FC Inter,Italy,left,45576,Attila Filkor,22,Hungary,midfielder,AC Milan,Italy,1000000,500000,False,False,False,False,450769,ITA1
18635,23169,23176,26353,ITA1,2010,s,FC Inter,Italy,left,47873,Cristian Daminuta,20,Romania,midfielder,AC Milan,Italy,1000000,200000,False,False,False,False,450770,ITA1
18636,23170,23177,26355,ITA1,2010,s,Genoa CFC,Italy,left,88712,Rodney Strasser,20,Sierra Leone,midfielder,AC Milan,Italy,0,150000,False,True,False,False,2233583,ITA1
18637,23171,23178,26356,URU,2010,s,Atletico River Plate Montevideo,Uruguay,left,74257,Bruno Montelongo,22,Uruguay,midfielder,AC Milan,Italy,0,600000,False,False,False,False,473078,ITA1
18638,23173,23180,26358,ITA1,2010,s,Genoa CFC,Italy,left,16810,Marco Amelia,28,Italy,goalkeeper,AC Milan,Italy,0,9000000,False,True,False,False,435879,ITA1
18937,23494,23502,26762,ITA1,2010,w,UC Sampdoria,Italy,left,5962,Antonio Cassano,28,Italy,striker,AC Milan,Italy,3300000,18500000,False,False,False,False,514341,ITA1
18938,23495,23503,26763,NET1,2010,w,Ajax Amsterdam,Netherlands,left,20586,Urby Emanuelson,24,Netherlands,midfielder,AC Milan,Italy,2500000,8000000,False,False,False,False,530472,ITA1
18939,23496,23504,26764,GER1,2010,w,Bayern Munich,Germany,left,3515,Mark van Bommel,33,Netherlands,midfielder,AC Milan,Italy,0,6500000,True,False,False,False,531365,ITA1
18940,23497,23505,26765,ITA1,2010,w,Juventus FC,Italy,left,5925,Nicola Legrottaglie,34,Italy,defender,AC Milan,Italy,0,1200000,True,False,False,False,534218,ITA1
28845,38020,38029,44460,ITA2,2010,s,Calcio Padova,Italy,left,54906,Matteo Darmian,20,Italy,defender,AC Milan,Italy,0,500000,False,True,True,False,320603,ITA1
