,team1,league_team1,season
0,Celano FC Olimpia,ITA4,6
1,Chievo Primavera,ITAJ,6
2,Correggese Calcio 1948,ITA4,6
3,Cosenza Calcio 1914,ITA3,6
4,Eretum Monterotondo,ITA4,6
5,FBC Casale,ITA4,6
6,Siena Juniores,ITAJ,6
7,FC Aprilia,ITA4,6
8,Savona Youth,ITA4,6
9,FC Monteponi Iglesias,ITA4,6
10,San Donato - Tavarnelle,ITA4,6
11,Salerno Calcio,ITA4,6
12,Catania Berretti,ITA4,6
13,Salernitana Primavera,ITAJ,6
14,Casarano Calcio,ITA4,6
15,Treviso FBC 1993,ITA3,6
16,US Avellino 1912,ITA2,6
17,Borgosesia Calcio,ITA4,6
18,US Ancona,ITA3,6
19,Cagliari Primavera,ITAJ,6
20,Calcio Del Duca Ribelle,ITA4,6
21,Real Vicenza VS,ITA3,6
22,Tritium Calcio 1908,ITA3,6
23,Trapani Primavera,ITAJ,6
24,Biancoscudati Padova,ITA4,6
25,Salernitana Calcio 1919,ITA3,6
26,Sacilese Calcio,ITA4,6
27,Rocca Priora,ITA4,6
28,Parma Calcio 1913,ITA4,6
29,Parma Juniores,ITA4,6
30,Rimini FC,ITA3,6
31,Pavia Juniores,ITA4,6
32,Perugia Primavera,ITA4,6
33,Pescara Primavera,ITAJ,6
34,Piacenza FC,ITA3,6
35,Pierantonio Sport,ITA4,6
36,Portogruaro Calcio ASD,ITA4,6
37,Pro Vercelli Primavera,ITAJ,6
38,Ravenna Calcio,ITA3,6
39,Novara Primavera,ITAJ,6
40,SS Akragas Città dei Templi,ITA3,6
41,SSD US Ancona,ITA4,6
42,SSD Spoleto Calcio,ITA4,6
43,Foligno Juniores,ITA4,6
44,Fondi Calcio,ITA4,6
45,SSD Riccione Calcio 1929,ITA4,6
46,Frosinone Primavera,ITA4,6
47,GSD RapalloBogliasco,ITA4,6
48,Gubbio Berretti,ITA4,6
49,SS Maceratese,ITA3,6
50,La Storta,ITA4,6
51,Latina Juniores,ITA4,6
52,Lazio U19,ITA4,6
53,Lupa Piacenza,ITA4,6
54,SEF Torres 1903,ITA3,6
55,US Campobasso 1919,ITA4,6
56,Bari Primavera,ITA4,6
57,ASD Boca Pietri Carpi,ITA4,6
58,US Pergolettese 1932,ITA4,6
59,US Poggibonsi,ITA4,6
60,US Tor di Quinto,ITA4,6
61,AS Casale Calcio,ITA4,6
62,US Vibonese,ITA4,6
63,USD Noto Calcio,ITA4,6
64,ACD Treviso,ITA4,6
65,ACD Grifoponte Torgiano,ITA4,6
66,ACD Asti Calcio,ITA4,6
67,USD Olginatese,ITA4,6
68,AC Savoia 1908,ITA3,6
69,AC Sambonifacese,ITA4,6
70,AC Bra,ITA4,6
71,Vicenza Primavera,ITAJ,6
72,AC Isola Liri,ITA4,6
73,Venezia FC,ITA4,6
74,ASD Liberty Monopoli,ITA4,6
75,Varese Juniores,ITA4,6
76,Varese Calcio,ITA4,6
77,Valenzana Mado SSD,ITA4,6
78,AC Ponte San Pietro-Isola,ITA4,6
79,VF Colligiana,ITA4,6
80,Unione Sanremo,ITA4,6
81,AC Montichiari,ITA4,6
82,ASD Lupa Castelli Romani,ITA3,6
83,AS Castel Rigone,ITA4,6
84,Arzachena Costa Smeralda,ITA4,6
85,Alma Juventus Fano 1906,ITA4,6
86,Abano Calcio,ITA4,6
87,Ascoli Picchio Primavera,ITA4,6
88,AltoVicentino,ITA4,6
89,Atletico Arezzo,ITA4,6
90,ASD Perugia Calcio,ITA4,6
91,ASD OltrepòVoghera,ITA4,6
92,Atletico Roma,ITA4,6
93,SS Matera Calcio,ITA3,12
94,AC Tuttocuoio,ITA3,12
95,SS Teramo Calcio,ITA3,12
96,Ascoli Picchio,ITA2,12
97,Lupa Roma FC,ITA3,12
98,Trapani Calcio,ITA2,12
99,Cosenza Calcio,ITA3,12
100,Arzanese Calcio,ITA4,12
101,Robur Siena,ITA3,12
102,AC Perugia Calcio,ITA2,12
103,US Foggia,ITA3,12
104,Brescia Primavera,ITAJ,12
105,AC Mantova,ITA3,12
106,Polisportiva Nuova Campobasso Calcio,ITA4,12
107,Pordenone Calcio,ITA3,12
108,Pro Piacenza 1919,ITA3,12
109,Bari,ITA2,12
110,SF Aversa Normanna,ITA3,12
111,US Gavorrano,ITA4,12
112,SSD Ischia Calcio,ITA3,12
113,Cavese 1919,ITA4,12
114,AS Martina Franca,ITA3,12
115,US Pergocrema 1932,ITA3,12
116,Sassuolo Primavera,ITAJ,12
117,Sangiovannese 1927,ITA4,12
118,SSD Chieti Calcio,ITA4,12
119,Bassano Virtus 55 ST,ITA3,12
120,Carpi Primavera,ITAJ,12
121,Fidelis Andria,ITA3,12
122,Calcio Lecco 1912,ITA4,12
123,US Triestina,ITA3,12
124,Calcio Portogruaro-Summaga,ITA3,12
125,AS Avellino 1912,ITA2,12
126,ACR Messina,ITA3,12
127,Forlì FC,ITA3,12
128,SSD Monza 1912,ITA3,12
129,Torino Primavera,ITAJ,18
130,Vigor Lamezia Calcio,ITA3,18
131,US Città di Pontedera,ITA3,18
132,Spezia Primavera,ITAJ,18
133,US Arezzo,ITA3,18
134,SPAL 1907,ITA3,18
135,SPAL 2013,ITA3,18
136,US Alessandria Calcio 1912,ITA3,18
137,Savona FBC,ITA3,18
138,Unione Sportiva Siracusa,ITA3,18
139,US Pistoiese 1921,ITA3,18
140,US Salernitana 1919,ITA2,18
141,AC Bellaria Igea Marina,ITA4,18
142,Carpi FC 1909,ITA1,18
143,Bologna Primavera,ITAJ,18
144,Aurora Pro Patria,ITA3,18
145,Atalanta Primavera,ITAJ,18
146,Foggia Calcio,ITA3,18
147,Foligno Calcio,ITA3,18
148,Frosinone Calcio,ITA3,18
149,Virtus Entella,ITA2,18
150,Hellas Verona,ITA1,18
151,AS Melfi,ITA3,18
152,ASG Nocerina,ITA3,18
153,FBC Unione Venezia,ITA3,18
154,AS Bari,ITA2,18
155,AS Andria BAT,ITA3,18
156,AC Siena,ITA1,18
157,Napoli Primavera,ITA4,18
158,AC Monza Brianza,ITA3,18
159,Empoli Primavera,ITAJ,24
160,Taranto FC 1927,ITA3,24
161,Ternana Calcio,ITA2,24
162,Calcio Padova,ITA2,24
163,US Catanzaro,ITA3,24
164,AC Cuneo 1905,ITA3,24
165,US Sassuolo,ITA1,24
166,Ascoli Calcio 1898,ITA2,24
167,US Latina Calcio,ITA2,24
168,Spezia Calcio,ITA2,24
169,AS Gubbio 1910,ITA2,24
170,AS Lucchese Libertas,ITA3,24
171,Varese Primavera,ITAJ,24
172,AC Renate,ITA3,24
173,Parma Primavera,ITAJ,24
174,FC Esperia Viareggio,ITA3,24
175,Paganese Calcio 1926,ITA3,24
176,Novara Calcio 1908,ITA2,24
177,SS Juve Stabia,ITA2,24
178,L'Aquila Calcio,ITA3,24
179,SS Milazzo,ITA4,24
180,Hellas Verona Primavera,ITAJ,24
181,Feralpisalò,ITA3,24
182,FC Pro Vercelli 1892,ITA2,24
183,SS Virtus Lanciano,ITA2,24
184,San Marino,ITA3,24
185,FC Inter Primavera,ITAJ,24
186,Delfino Pescara 1936,ITA2,30
187,AS Livorno,ITA1,30
188,Santarcangelo Calcio,ITA3,30
189,US Grosseto FC,ITA2,30
190,AS Cittadella,ITA2,30
191,Udinese Primavera,ITAJ,30
192,AC Prato,ITA3,30
193,Varese 1910,ITA2,30
194,Roma Primavera,ITA4,30
195,Sorrento Calcio,ITA3,30
196,Parma FC,ITA1,30
197,SS Barletta Calcio,ITA3,30
198,Atalanta BC,ITA1,30
199,Genoa Primavera,ITAJ,30
200,Reggina Calcio,ITA2,30
201,Empoli FC,ITA1,30
202,Fiorentina Primavera,ITAJ,30
203,Brescia Calcio,ITA2,30
204,Carrarese Calcio 1908,ITA3,30
205,Benevento Calcio,ITA3,30
206,Calcio Como,ITA3,30
207,Sampdoria Primavera,ITAJ,30
208,Torino FC,ITA1,30
209,FC Inter,ITA1,36
210,AC Reggiana 1919,ITA3,36
211,UC AlbinoLeffe,ITA2,36
212,AC Pisa 1909,ITA3,36
213,US Cremonese,ITA3,36
214,AC Lumezzane,ITA3,36
215,Vicenza Calcio,ITA2,36
216,Palermo,ITA1,36
217,Chievo Verona,ITA1,36
218,AC Cesena,ITA1,36
219,AC Milan,ITA1,36
220,Udinese Calcio,ITA1,36
221,Milan Primavera,ITAJ,36
222,ACF Fiorentina,ITA1,36
223,UC Sampdoria,ITA1,36
224,Calcio Catania,ITA1,36
225,Cagliari Calcio,ITA1,36
226,SS Lazio,ITA1,36
227,Bologna FC 1909,ITA1,36
228,Juventus Primavera,ITAJ,36
229,AS Roma,ITA1,36
230,FC Südtirol-Alto Adige,ITA3,36
231,FC Pavia 1911,ITA3,36
232,US Lecce,ITA1,36
233,FC Crotone,ITA2,36
234,SSC Napoli,ITA1,36
235,Genoa CFC,ITA1,36
236,Modena FC,ITA2,36
237,Juventus FC,ITA1,36
