,Unnamed: 0.1,Unnamed: 0,league_team1,season,window,team1,country_team1,dir,player_id,player_name,player_age,player_nation,player_pos,team2,country_team2,transfer_value,market_value,is_free,is_loan,is_loan_end,is_retired,transfer_id,league_team2
410,410,3221,ENG1,2010,s,Manchester City,England,left,15511,Robinho,26,Brazil,striker,AC Milan,Italy,21000000.0,28000000.0,False,False,False,False,474643,ITA1
5793,5796,15228,SPA1,2010,s,FC Barcelona,Spain,left,3455,Zlatan Ibrahimovic,28,Sweden,striker,AC Milan,Italy,6000000.0,46000000.0,False,True,False,False,473616,ITA1
5815,5818,15253,SPA1,2010,w,RCD Espanyol Barcelona,Spain,left,67090,Dídac Vilà,21,Spain,defender,AC Milan,Italy,4000000.0,800000.0,False,False,False,False,532877,ITA1
8887,8890,26148,ITA1,2010,s,UC Sampdoria,Italy,left,19136,Marco Storari,33,Italy,goalkeeper,AC Milan,Italy,0.0,1500000.0,False,True,True,False,379178,ITA1
8987,8990,26259,ITA1,2010,s,Chievo Verona,Italy,left,5507,Mario Yepes,34,Colombia,defender,AC Milan,Italy,0.0,2000000.0,True,False,False,False,407804,ITA1
9023,9026,26296,ITA1,2010,s,Chievo Verona,Italy,left,52337,Michal Miskiewicz,21,Poland,goalkeeper,AC Milan,Italy,0.0,100000.0,False,True,True,False,316203,ITA1
9062,9065,26349,ITA1,2010,s,Genoa CFC,Italy,left,68306,Alberto Paloschi,20,Italy,striker,AC Milan,Italy,5000000.0,5000000.0,False,False,False,False,580632,ITA1
9063,9066,26350,ITA1,2010,s,Genoa CFC,Italy,left,34322,Sokratis Papastathopoulos,22,Greece,defender,AC Milan,Italy,4500000.0,5000000.0,False,False,False,False,454358,ITA1
9064,9067,26351,ITA1,2010,s,Genoa CFC,Italy,left,16922,Kevin-Prince Boateng,23,Ghana,midfielder,AC Milan,Italy,3000000.0,6000000.0,False,True,False,False,467628,ITA1
9065,9068,26352,ITA1,2010,s,FC Internazionale,Italy,left,45576,Attila Filkor,22,Hungary,midfielder,AC Milan,Italy,1000000.0,500000.0,False,False,False,False,450769,ITA1
9066,9069,26353,ITA1,2010,s,FC Internazionale,Italy,left,47873,Cristian Daminuta,20,Romania,midfielder,AC Milan,Italy,1000000.0,200000.0,False,False,False,False,450770,ITA1
9067,9070,26355,ITA1,2010,s,Genoa CFC,Italy,left,88712,Rodney Strasser,20,Sierra Leone,midfielder,AC Milan,Italy,0.0,150000.0,False,True,False,False,2233583,ITA1
9068,9071,26356,URU,2010,s,Atletico River Plate Montevideo,Uruguay,left,74257,Bruno Montelongo,22,Uruguay,midfielder,AC Milan,Italy,0 €,600000.0,False,False,False,False,473078,ITA1
9069,9072,26357,ITA2,2010,s,Atalanta BC,Italy,left,5986,Ferdinando Coppola,32,Italy,goalkeeper,AC Milan,Italy,NF,1000000.0,False,False,False,False,439433,ITA1
9070,9073,26358,ITA1,2010,s,Genoa CFC,Italy,left,16810,Marco Amelia,28,Italy,goalkeeper,AC Milan,Italy,0.0,9000000.0,False,True,False,False,435879,ITA1
9071,9074,26359,ITAJ,2010,s,Milan Primavera,Italy,left,130354,Nnamdi Oduamadi,19,Nigeria,striker,AC Milan,Italy,0 €,NF,False,False,False,False,460320,ITA1
9391,9395,26762,ITA1,2010,w,UC Sampdoria,Italy,left,5962,Antonio Cassano,28,Italy,striker,AC Milan,Italy,3300000.0,18500000.0,False,False,False,False,514341,ITA1
9392,9396,26763,NET1,2010,w,Ajax Amsterdam,Netherlands,left,20586,Urby Emanuelson,24,Netherlands,midfielder,AC Milan,Italy,2500000.0,8000000.0,False,False,False,False,530472,ITA1
9393,9397,26764,GER1,2010,w,Bayern Munich,Germany,left,3515,Mark van Bommel,33,Netherlands,midfielder,AC Milan,Italy,0.0,6500000.0,True,False,False,False,531365,ITA1
9394,9398,26765,ITA1,2010,w,Juventus FC,Italy,left,5925,Nicola Legrottaglie,34,Italy,defender,AC Milan,Italy,0.0,1200000.0,True,False,False,False,534218,ITA1
9395,9399,26766,ITAJ,2010,w,Milan Primavera,Italy,left,86926,Alexander Merkel,18,Kazakhstan,midfielder,AC Milan,Italy,0 €,NF,False,False,False,False,549037,ITA1
15632,15637,44460,ITA2,2010,s,Calcio Padova,Italy,left,54906,Matteo Darmian,20,Italy,defender,AC Milan,Italy,0.0,500000.0,False,True,True,False,320603,ITA1
15752,15757,44605,ITA2,2010,s,Varese 1910,Italy,left,88692,Giorgio Gianola,20,Italy,defender,AC Milan,Italy,0.0,NF,False,True,True,False,324209,ITA1
15755,15760,44608,ITA2,2010,s,Varese 1910,Italy,left,88699,Wilfred Osuji,19,Nigeria,midfielder,AC Milan,Italy,0.0,250000.0,False,True,True,False,360663,ITA1
15756,15761,44609,ITA2,2010,s,Varese 1910,Italy,left,56634,Kingsley Umunegbu,20,Nigeria,striker,AC Milan,Italy,0.0,50000.0,False,True,True,False,341274,ITA1
16079,16084,45014,ITA2,2010,s,AS Livorno,Italy,left,52136,Davide Di Gennaro,22,Italy,midfielder,AC Milan,Italy,0.0,2200000.0,False,True,True,False,385234,ITA1
16081,16086,45016,ITA2,2010,s,AS Livorno,Italy,left,56621,Marcus Diniz,22,Brazil,defender,AC Milan,Italy,0.0,NF,False,True,True,False,339003,ITA1
16331,16336,45408,ITA2,2010,s,FC Crotone,Italy,left,44365,Digão,24,Brazil,defender,AC Milan,Italy,0.0,350000.0,False,True,True,False,386560,ITA1
16465,16470,45581,ITA2,2010,w,Reggina Calcio,Italy,left,85563,Dominic Adiyiah,21,Ghana,striker,AC Milan,Italy,0.0,700000.0,False,True,True,False,472296,ITA1
21854,21863,63142,ITA3,2010,s,FC Pavia 1911,Italy,left,45570,Davide Facchin,23,Italy,goalkeeper,AC Milan,Italy,0.0,NF,False,True,True,False,360537,ITA1
21932,21941,63256,ITA3,2010,s,AS Gubbio 1910,Italy,left,56618,Matteo Bruscagin,20,Italy,defender,AC Milan,Italy,0.0,-,False,True,True,False,341271,ITA1
21996,22005,63346,ITA3,2010,s,AC Monza Brianza,Italy,left,127774,Harmony Ikande,19,Nigeria,midfielder,AC Milan,Italy,0.0,50000.0,False,True,True,False,384418,ITA1
22114,22123,63515,ITA3,2010,s,Calcio Como,Italy,left,45113,Patrick Kalambay,26,Italy,midfielder,AC Milan,Italy,0.0,50000.0,False,True,True,False,382775,ITA1
22212,22221,63665,ITA3,2010,w,AC Monza Brianza,Italy,left,54896,William-Fils Aubameyang,23,Gabon,defender,AC Milan,Italy,0.0,500000.0,False,True,True,False,531829,ITA1
