league,team,point
NL1,Ajax Amsterdam,554
NL1,PSV Eindhoven,505
NL1,AZ Alkmaar,418
NL1,Feyenoord Rotterdam,403
NL1,FC Twente Enschede,347
NL1,SC Heerenveen,327
NL1,Vitesse Arnhem,323
NL1,FC Utrecht,303
NL1,FC Groningen,285
NL1,Heracles Almelo,218
NL1,ADO Den Haag,205
NL1,NEC Nijmegen,181
NL1,NAC Breda,169
NL1,Willem II Tilburg,169
NL1,Roda JC Kerkrade,165
NL1,PEC Zwolle,155
NL1,Excelsior Rotterdam,111
NL1,Sparta Rotterdam,108
NL1,VVV-Venlo,99
NL1,RKC Waalwijk,81
NL1,De Graafschap Doetinchem,65
NL1,SC Cambuur-Leeuwarden,50
NL1,Fortuna Sittard,50
NL1,Go Ahead Eagles Deventer,48
NL1,FC Emmen,35
NL1,FC Volendam,8
NL1,FC Dordrecht,7
