league,team,point
ES1,FC Barcellona,1.392
ES1,Real Madrid CF,1.375
ES1,Atlético de Madrid,1.144
ES1,Siviglia FC,1.023
ES1,Valencia CF,941
ES1,Villarreal CF,895
ES1,Athletic Bilbao,838
ES1,Getafe CF,697
ES1,Real Sociedad,689
ES1,RCD Espanyol Barcellona,686
ES1,Real Betis Balompié,618
ES1,Levante UD,546
ES1,CA Osasuna,519
ES1,Celta de Vigo,507
ES1,Málaga CF,462
ES1,RCD Mallorca,425
ES1,Deportivo de La Coruña,424
ES1,Granada CF,359
ES1,Real Valladolid CF,317
ES1,SD Eibar,302
ES1,Rayo Vallecano,300
ES1,Racing Santander,268
ES1,Real Saragozza,265
ES1,Deportivo Alavés,260
ES1,UD Almería,239
ES1,Sporting de Gijón,237
ES1,CD Leganés,159
ES1,Elche CF,159
ES1,Recreativo Huelva,131
ES1,UD Las Palmas,105
ES1,Girona FC,88
ES1,Cádiz CF,83
ES1,SD Huesca,67
ES1,CD Tenerife,36
ES1,Hércules CF,35
ES1,CD Numancia,35
ES1,Xerez CD,34
ES1,Real Murcia CF,30
ES1,Gimnàstic de Tarragona,28
ES1,Córdoba CF,20
