league,team,point
FR1,FC Paris Saint-Germain,1.199
FR1,Olympique Lione,1.091
FR1,Olympique Marsiglia,1.032
FR1,LOSC Lilla,986
FR1,FC Girondins Bordeaux,877
FR1,Stade Rennais FC,873
FR1,AS Monaco,856
FR1,OGC Nizza,844
FR1,AS Saint Étienne,831
FR1,Montpellier HSC,683
FR1,FC Tolosa,631
FR1,FC Lorient,597
FR1,FC Nantes,493
FR1,SM Caen,380
FR1,AS Nancy-Lorraine,365
FR1,FC Sochaux-Montbéliard,365
FR1,Stade Reims,358
FR1,Valenciennes FC,352
FR1,RC Lens,328
FR1,AJ Auxerre,307
FR1,Angers SCO,307
FR1,RC Strasburgo Alsazia,265
FR1,EA Guingamp,259
FR1,Stade Brestois 29,239
FR1,FC Metz,235
FR1,SC Bastia,227
FR1,Digione FCO,206
FR1,Le Mans FC,174
FR1,Thonon Évian Grand Genève FC,171
FR1,ESTAC Troyes,165
FR1,Nîmes Olympique,115
FR1,Amiens SC,106
FR1,AC Ajaccio,104
FR1,Grenoble Foot 38,67
FR1,GFC Ajaccio,37
FR1,Clermont Foot 63,36
FR1,CS Sedan-Ardennes,35
FR1,US Boulogne,31
FR1,AC Le Havre,26
FR1,Athlétic Club Arlésien,20
