,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,league_team1,season,window,team1,country_team1,dir,player_id,player_name,player_age,player_nation,player_pos,team2,country_team2,transfer_value,market_value,is_free,is_loan,is_loan_end,is_retired,transfer_id,league_team2
0,47,47,3744,3744,ENG2,2011,s,Blackpool FC,England,left,12693,Stephen Dobbie,29,Scotland,striker,Swansea City,England,0,1500000,False,True,True,False,701717,ENG1
1,103,103,3802,3802,ENG2,2011,s,Blackpool FC,England,left,173750,Nouha Dicko,20,Mali,striker,Wigan Athletic,England,0,0,False,True,True,False,678843,ENG1
2,118,118,3817,3817,ENG2,2011,s,Blackpool FC,England,left,37896,DJ Campbell,29,England,striker,Queens Park Rangers,England,2000000,2500000,False,False,False,False,616179,ENG1
3,415,415,4137,4137,ENG2,2011,s,Blackpool FC,England,left,14178,David Vaughan,28,Wales,midfielder,Sunderland AFC,England,0,2000000,True,False,False,False,583263,ENG1
4,544,544,4293,4293,ENG2,2011,s,Blackpool FC,England,left,28990,Charlie Adam,25,Scotland,midfielder,Liverpool FC,England,8400000,4500000,False,False,False,False,598164,ENG1
5,551,551,4302,4302,ENG2,2011,s,Blackpool FC,England,left,103819,Danny Wilson,20,Scotland,defender,Liverpool FC,England,0,2000000,False,True,True,False,664343,ENG1
6,642,642,4401,4401,ENG2,2011,w,Blackpool FC,England,left,61711,Callum McManaman,20,England,striker,Wigan Athletic,England,0,0,False,True,True,False,644212,ENG1
7,923,923,4700,4700,ENG2,2011,w,Blackpool FC,England,left,71292,Jonjo Shelvey,19,England,midfielder,Liverpool FC,England,0,2000000,False,True,True,False,640383,ENG1
8,1132,1132,4917,4917,ENG2,2012,s,Blackpool FC,England,left,62642,Nathan Delfouneso,22,England,striker,Aston Villa,England,0,2500000,False,True,True,False,778337,ENG1
9,1640,1640,5473,5473,ENG2,2012,w,Blackpool FC,England,left,121416,Reece Wabara,21,England,defender,Manchester City,England,0,0,False,True,True,False,831997,ENG1
10,1755,1755,5593,5593,ENG2,2012,w,Blackpool FC,England,left,173750,Nouha Dicko,20,Mali,striker,Wigan Athletic,England,0,0,False,True,True,False,772126,ENG1
11,2036,2036,5884,5884,ENG2,2013,s,Blackpool FC,England,left,128909,Jack Robinson,20,England,defender,Liverpool FC,England,0,800000,False,True,True,False,922472,ENG1
12,2378,2379,6265,6265,ENG2,2013,s,Blackpool FC,England,left,56785,Elliot Grandin,25,France,midfielder,Crystal Palace,England,0,1500000,True,False,False,False,871086,ENG1
13,2380,2381,6267,6267,ENG2,2013,s,Blackpool FC,England,left,3131,Kevin Phillips,39,England,striker,Crystal Palace,England,0,250000,True,False,False,False,913657,ENG1
14,2392,2393,6282,6282,ENG2,2013,s,Blackpool FC,England,left,12693,Stephen Dobbie,31,Scotland,striker,Crystal Palace,England,0,1000000,False,True,True,False,1012792,ENG1
15,2485,2486,6377,6377,ENG2,2013,w,Blackpool FC,England,left,124495,Apostolos Vellios,22,Greece,striker,Everton FC,England,0,2000000,False,True,True,False,1042601,ENG1
16,2617,2618,6514,6514,ENG2,2013,w,Blackpool FC,England,left,62642,Nathan Delfouneso,22,England,striker,Aston Villa,England,0,2500000,False,True,True,False,932555,ENG1
17,2634,2635,6532,6532,ENG2,2013,w,Blackpool FC,England,left,44983,Dan Gosling,23,England,midfielder,Newcastle United,England,0,1500000,False,True,True,False,960326,ENG1
