,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,league_team1,season,window,team1,country_team1,dir,player_id,player_name,player_age,player_nation,player_pos,team2,country_team2,transfer_value,market_value,is_free,is_loan,is_loan_end,is_retired,transfer_id,league_team2
0,39,39,3736,3736,NET1,2011,s,FC Utrecht,Netherlands,left,26276,Michel Vorm,27,Netherlands,goalkeeper,Swansea City,England,1700000,5000000,False,False,False,False,620357,ENG1
1,3244,3245,7185,7185,NET1,2014,s,FC Utrecht,Netherlands,left,131171,Juan Agudelo,21,United States,striker,Stoke City,England,0,1000000,False,True,True,False,1004052,ENG1
2,29584,29597,110471,110471,NET1,2011,s,FC Utrecht,Netherlands,left,41355,Ricky van Wolfswinkel,22,Netherlands,striker,Sporting CP,Portugal,5080000,6000000,False,False,False,False,579189,POR1
3,33160,33174,122691,122691,NET1,2011,s,FC Utrecht,Netherlands,left,56416,Dries Mertens,24,Belgium,striker,PSV Eindhoven,Netherlands,8500000,6000000,False,False,False,False,591886,NET1
4,33163,33177,122694,122694,NET1,2011,s,FC Utrecht,Netherlands,left,68864,Kevin Strootman,21,Netherlands,midfielder,PSV Eindhoven,Netherlands,4500000,4000000,False,False,False,False,591887,NET1
5,33166,33180,122698,122698,NET1,2011,s,FC Utrecht,Netherlands,left,4487,Khalid Sinouh,36,Morocco,goalkeeper,PSV Eindhoven,Netherlands,0,300000,True,False,False,False,562902,NET1
6,33177,33191,122715,122715,NET1,2011,s,FC Utrecht,Netherlands,left,4415,Tim Cornelisse,33,Netherlands,defender,Twente Enschede FC,Netherlands,0,1500000,True,False,False,False,555963,NET1
7,33273,33287,122841,122841,NET1,2011,s,FC Utrecht,Netherlands,left,67508,Wesley de Ruiter,25,Netherlands,goalkeeper,Excelsior Rotterdam,Netherlands,0,300000,True,False,False,False,593847,NET1
8,33274,33288,122843,122843,NET1,2011,s,FC Utrecht,Netherlands,left,2703,Morten Skoubo,31,Denmark,striker,Odense Boldklub,Denmark,0,1000000,True,False,False,False,588352,DEN
9,33275,33289,122845,122845,NET1,2011,s,FC Utrecht,Netherlands,left,56491,Barry Maguire,21,Netherlands,midfielder,VVV-Venlo,Netherlands,0,650000,True,False,False,False,577925,NET1
10,33276,33290,122846,122846,NET1,2011,s,FC Utrecht,Netherlands,left,15131,Michael Silberbauer,29,Denmark,midfielder,BSC Young Boys,Switzerland,0,2500000,True,False,False,False,564391,SWI
