,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,league_team1,season,window,team1,country_team1,dir,player_id,player_name,player_age,player_nation,player_pos,team2,country_team2,transfer_value,market_value,is_free,is_loan,is_loan_end,is_retired,transfer_id,league_team2
0,1,1,3698,3698,ENG1,2011,s,Tottenham Hotspur,England,left,38090,Jamie O'Hara,24,England,midfielder,Wolverhampton Wanderers,England,3750000,5000000,False,False,False,False,587742,ENG1
1,44,44,3741,3741,ENG1,2011,s,Tottenham Hotspur,England,left,121280,Steven Caulker,19,Sierra Leone,defender,Swansea City,England,0,50000,False,True,False,False,593653,ENG1
2,70,70,3768,3768,ENG1,2011,s,Tottenham Hotspur,England,left,66219,Kyle Naughton,22,England,defender,Norwich City,England,0,2000000,False,True,False,False,608297,ENG1
3,334,334,4044,4044,ENG1,2011,s,Tottenham Hotspur,England,left,4072,Peter Crouch,30,England,striker,Stoke City,England,11300000,10000000,False,False,False,False,630528,ENG1
4,335,335,4045,4045,ENG1,2011,s,Tottenham Hotspur,England,left,58361,Wilson Palacios,26,Honduras,midfielder,Stoke City,England,9000000,14000000,False,False,False,False,630366,ENG1
5,338,338,4048,4048,ENG1,2011,s,Tottenham Hotspur,England,left,3224,Jonathan Woodgate,31,England,defender,Stoke City,England,0,4000000,True,False,False,False,597941,ENG1
6,364,364,4076,4076,ENG1,2011,s,Tottenham Hotspur,England,left,9619,Alan Hutton,26,Scotland,defender,Aston Villa,England,4500000,7500000,False,False,False,False,630604,ENG1
7,366,366,4078,4078,ENG1,2011,s,Tottenham Hotspur,England,left,3461,Jermaine Jenas,28,England,midfielder,Aston Villa,England,1000000,8500000,False,True,False,False,630605,ENG1
8,457,457,4185,4185,ENG1,2011,s,Tottenham Hotspur,England,left,8883,Emmanuel Adebayor,28,Togo,striker,Manchester City,England,0,25000000,False,True,True,False,627459,ENG1
9,535,535,4277,4277,ENG1,2011,s,Tottenham Hotspur,England,left,3144,Robbie Keane,31,Ireland,striker,Los Angeles Galaxy,United States,3750000,5500000,False,False,False,False,622022,UNI
10,536,536,4279,4279,ENG1,2011,s,Tottenham Hotspur,England,left,73846,Paul-José Mpoku,19,DR Congo,midfielder,Standard Liège,Belgium,400000,0,False,False,False,False,606012,BEL
11,537,537,4282,4282,ENG1,2011,s,Tottenham Hotspur,England,left,3205,David Bentley,27,England,midfielder,West Ham United,England,0,5500000,False,True,False,False,630046,ENG2
12,538,538,4283,4283,ENG1,2011,s,Tottenham Hotspur,England,left,61841,Adam Smith,20,England,defender,Milton Keynes Dons,England,0,300000,False,True,False,False,622602,ENG2
13,539,539,4284,4284,ENG1,2011,s,Tottenham Hotspur,England,left,45628,Oscar Jansson,20,Sweden,goalkeeper,Bradford City,England,0,0,False,True,False,False,619043,ENG2
14,541,541,4287,4287,ENG1,2011,s,Tottenham Hotspur,England,left,61814,David Button,22,England,goalkeeper,Leyton Orient,England,0,125000,False,True,False,False,631420,ENG2
15,542,542,4288,4288,ENG1,2011,s,Tottenham Hotspur,England,left,27036,Ben Alnwick,24,England,goalkeeper,Leyton Orient,England,0,100000,False,True,False,False,634537,ENG2
16,543,543,4289,4289,ENG1,2011,s,Tottenham Hotspur,England,left,14937,Stipe Pletikosa,32,Croatia,goalkeeper,Spartak Moscow,Russia,0,2500000,False,True,True,False,474471,RUS
17,591,591,4350,4350,ENG1,2011,w,Tottenham Hotspur,England,left,33951,Sébastien Bassong,25,Cameroon,defender,Wolverhampton Wanderers,England,0,6500000,False,True,False,False,681652,ENG1
18,904,904,4680,4680,ENG1,2011,w,Tottenham Hotspur,England,left,15072,Roman Pavlyuchenko,30,Russia,striker,Lokomotiv Moscow,Russia,9000000,8500000,False,False,False,False,681569,RUS
19,905,905,4681,4681,ENG1,2011,w,Tottenham Hotspur,England,left,34393,Vedran Corluka,25,Croatia,defender,Bayer 04 Leverkusen,Germany,550000,10000000,False,True,False,False,680740,GER1
20,906,906,4682,4682,ENG1,2011,w,Tottenham Hotspur,England,left,61814,David Button,22,England,goalkeeper,Doncaster Rovers,England,0,125000,False,True,False,False,664535,ENG2
21,907,907,4683,4683,ENG1,2011,w,Tottenham Hotspur,England,left,61841,Adam Smith,20,England,defender,Leeds United,England,0,300000,False,True,False,False,682470,ENG2
22,909,909,4686,4686,ENG1,2011,w,Tottenham Hotspur,England,left,121279,Tom Carroll,19,England,midfielder,Derby County,England,0,0,False,True,False,False,680037,ENG2
23,911,911,4688,4688,ENG1,2011,w,Tottenham Hotspur,England,left,58097,John Bostock,19,Trinidad and Tobago,midfielder,Sheffield Wednesday,England,0,0,False,True,False,False,683423,ENG2
24,912,912,4689,4689,ENG1,2011,w,Tottenham Hotspur,England,left,61842,Andros Townsend,20,England,striker,Leeds United,England,0,500000,False,True,False,False,664531,ENG2
25,915,915,4692,4692,ENG1,2011,w,Tottenham Hotspur,England,left,45628,Oscar Jansson,21,Sweden,goalkeeper,Shamrock Rovers,Ireland,0,25000,False,True,False,False,689855,IRE
26,916,916,4693,4693,ENG1,2011,w,Tottenham Hotspur,England,left,61842,Andros Townsend,20,England,striker,Birmingham City,England,0,500000,False,True,False,False,692640,ENG2
27,917,917,4694,4694,ENG1,2011,w,Tottenham Hotspur,England,left,58097,John Bostock,20,Trinidad and Tobago,midfielder,Swindon Town,England,0,0,False,True,False,False,702209,ENG2
28,918,918,4695,4695,ENG1,2011,w,Tottenham Hotspur,England,left,61814,David Button,23,England,goalkeeper,Barnsley FC,England,0,125000,False,True,False,False,704112,ENG2
29,919,919,4696,4696,ENG1,2011,w,Tottenham Hotspur,England,left,57488,Simon Dawkins,24,Jamaica,striker,San Jose Earthquakes,United States,0,100000,False,True,False,False,688494,UNI
30,920,920,4697,4697,ENG1,2011,w,Tottenham Hotspur,England,left,59340,Iago Falque,22,Spain,striker,Juventus Primavera,Italy,0,2000000,False,True,True,False,627587,ITAJ
31,1172,1172,4961,4961,ENG1,2012,s,Tottenham Hotspur,England,left,4015,Louis Saha,34,France,striker,Sunderland AFC,England,0,1250000,True,False,False,False,718422,ENG1
32,1283,1283,5081,5081,ENG1,2012,s,Tottenham Hotspur,England,left,27992,Luka Modric,26,Croatia,midfielder,Real Madrid,Spain,35000000,39000000,False,False,False,False,775089,SPA1
