league,team,point
GB1,Manchester United,1.223
GB1,Manchester City,1.219
GB1,Chelsea FC,1.208
GB1,FC Liverpool,1.178
GB1,FC Arsenal,1.128
GB1,Tottenham Hotspur,1.059
GB1,FC Everton,897
GB1,West Ham United,703
GB1,Newcastle United,624
GB1,Aston Villa,591
GB1,FC Southampton,476
GB1,Stoke City,457
GB1,Leicester City,445
GB1,Crystal Palace,404
GB1,FC Fulham,404
GB1,West Bromwich Albion,400
GB1,AFC Sunderland,389
GB1,FC Burnley,325
GB1,Wolverhampton Wanderers,315
GB1,Swansea City,312
GB1,Wigan Athletic,280
GB1,Blackburn Rovers,275
GB1,FC Watford,261
GB1,Bolton Wanderers,255
GB1,AFC Bournemouth,211
GB1,Brighton & Hove Albion,209
GB1,Norwich City,201
GB1,FC Portsmouth,171
GB1,Hull City,171
GB1,FC Middlesbrough,148
GB1,Birmingham City,124
GB1,FC Reading,119
GB1,Sheffield United,115
GB1,Leeds United,97
GB1,Queens Park Rangers,92
GB1,Cardiff City,64
GB1,Huddersfield Town,53
GB1,FC Brentford,46
GB1,FC Blackpool,39
GB1,Charlton Athletic,34
GB1,Derby County,11
