league,team,point
PO1,FC Porto,1.231
PO1,Benfica Lisbona,1.187
PO1,Sporting CP,1.067
PO1,SC Braga,910
PO1,Vitória Guimarães SC,688
PO1,CS Marítimo,647
PO1,FC Paços de Ferreira,582
PO1,Rio Ave FC,528
PO1,CD Nacional,495
PO1,Vitória Setúbal FC,448
PO1,Boavista Porto FC,383
PO1,Moreirense FC,338
PO1,CF Os Belenenses,326
PO1,Académica Coimbra,308
PO1,GD Estoril Praia,293
PO1,Gil Vicente FC,246
PO1,CD Tondela,235
PO1,Portimonense SC,208
PO1,FC Arouca,182
PO1,CD Santa Clara,171
PO1,Associação Naval 1893,154
PO1,SC Olhanense,151
PO1,União de Leiria,146
PO1,Belenenses SAD,144
PO1,FC Famalicão,133
PO1,CD Feirense,123
PO1,GD Chaves,120
PO1,Desportivo Aves (- 2020),110
PO1,SC Beira-Mar,108
PO1,CF Estrela Amadora SAD,100
PO1,Leixões SC,92
PO1,FC Vizela,33
PO1,SC Farense,31
PO1,CF União Madeira,29
PO1,CD Trofense,23
PO1,FC Penafiel,22
