league,team,point
IT1,Juventus FC,1.218
IT1,Inter,1.178
IT1,AS Roma,1.141
IT1,AC Milan,1.102
IT1,SSC Napoli,1.061
IT1,SS Lazio,983
IT1,ACF Fiorentina,908
IT1,Atalanta,814
IT1,Udinese Calcio,785
IT1,UC Sampdoria,726
IT1,Genoa CFC,672
IT1,Cagliari Calcio,626
IT1,Torino FC,607
IT1,Bologna FC,545
IT1,AC Chievo Verona,490
IT1,Palermo FC,472
IT1,Parma Calcio 1913,466
IT1,US Sassuolo,439
IT1,Calcio Catania,348
IT1,Hellas Verona,300
IT1,Empoli FC,289
IT1,ACN Siena 1904,233
IT1,US Lecce,142
IT1,US Livorno 1915,127
IT1,Reggina 1914,111
IT1,SPAL,100
IT1,FC Crotone,92
IT1,Cesena FC,89
IT1,Spezia Calcio,75
IT1,SSC Bari,74
IT1,Brescia Calcio,58
IT1,Frosinone Calcio,56
IT1,Benevento Calcio,54
IT1,Delfino Pescara 1936,40
IT1,Athletic Carpi 2021,38
IT1,Novara FC,32
IT1,US Salernitana 1919,31
IT1,Ascoli Calcio,27
IT1,Venezia FC,27
IT1,ACR Messina,26
